scenario_global_id,scenario_index_in_size,criteria,matching_recipe_count,hits@1,hits@5,hits@10,precision@1,precision@5,precision@10,mrr
ground_truth_size_2,0,"[('containsIngredient', 'MORNINGSTAR FARMS BRKFST SAUSAGE LINKS,FRZ,UNPREP'), ('containsIngredient', ""POTATOES,O'BRIEN,HOME-PREPARED"")]",1,0.0,1.0,1.0,0.0,0.2,0.1,0.5
ground_truth_size_2,1,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV'), ('containsIngredient', 'MUSHROOMS,SHIITAKE,RAW')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.00037230081906180194
ground_truth_size_2,2,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV'), ('containsIngredient', 'SPAGHETTI,WHOLE-WHEAT,DRY')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0001328550551348479
ground_truth_size_2,3,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV'), ('containsIngredient', 'Soy sauce salt')]",1,0.0,0.0,0.0,0.0,0.0,0.0,3.2356176794150005e-05
ground_truth_size_2,4,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV'), ('containsIngredient', 'Salt sea')]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.8004393071909547e-05
ground_truth_size_2,5,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV'), ('containsIngredient', 'ONIONS,RAW')]",2,0.0,0.0,0.0,0.0,0.0,0.0,5.600358422939068e-05
ground_truth_size_2,6,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV'), ('containsIngredient', 'Catsup')]",1,0.0,0.0,0.0,0.0,0.0,0.0,3.6362314097669174e-05
ground_truth_size_2,7,"[('containsIngredient', 'BREAD,WHOLE-WHEAT,PREP FROM RECIPE,TSTD'), ('containsIngredient', 'Sweet pepper green raw')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.00019164430816404754
ground_truth_size_2,8,"[('containsIngredient', 'BREAD,WHOLE-WHEAT,PREP FROM RECIPE,TSTD'), ('containsIngredient', 'CHEESE,PARMESAN,GRATED')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.00017914725904693657
ground_truth_size_2,9,"[('containsIngredient', 'BREAD,WHOLE-WHEAT,PREP FROM RECIPE,TSTD'), ('containsIngredient', 'ONIONS,RAW')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.00018328445747800586
ground_truth_size_2,10,"[('containsIngredient', 'BREAD,WHOLE-WHEAT,PREP FROM RECIPE,TSTD'), ('containsIngredient', 'OLIVES,RIPE,CND (JUMBO-SUPER COLOSSAL)')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0036496350364963502
ground_truth_size_2,11,"[('containsIngredient', 'BLUEBERRIES,DRIED,SWTND'), ('containsIngredient', 'BREAD,WHEAT GERM')]",1,0.0,0.0,0.0,0.0,0.0,0.0,2.8076480332425527e-05
ground_truth_size_2,12,"[('containsIngredient', 'BLUEBERRIES,DRIED,SWTND'), ('containsIngredient', 'CORNSTARCH')]",1,0.0,0.0,0.0,0.0,0.0,0.0,2.2966858822718816e-05
ground_truth_size_2,13,"[('containsIngredient', 'BLUEBERRIES,DRIED,SWTND'), ('containsIngredient', 'Flour rice')]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.00011435105774728416
ground_truth_size_2,14,"[('containsIngredient', 'BLUEBERRIES,DRIED,SWTND'), ('containsIngredient', 'Salt sea')]",2,0.0,0.0,0.0,0.0,0.0,0.0,3.1384364309700906e-05
ground_truth_size_2,15,"[('containsIngredient', 'BEANS,FRENCH,MATURE SEEDS,CKD,BLD,WO/SALT'), ('containsIngredient', 'Sweet pepper green raw')]",1,0.0,0.0,0.0,0.0,0.0,0.0,2.268911376321641e-05
ground_truth_size_2,16,"[('containsIngredient', 'BEANS,FRENCH,MATURE SEEDS,CKD,BLD,WO/SALT'), ('containsIngredient', 'Salt sea')]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.793432450366757e-05
ground_truth_size_2,17,"[('containsIngredient', 'BEANS,FRENCH,MATURE SEEDS,CKD,BLD,WO/SALT'), ('containsIngredient', 'ONIONS,RAW')]",2,0.0,0.0,0.0,0.0,0.0,0.0,3.434183866204197e-05
ground_truth_size_2,18,"[('containsIngredient', 'SALAD DRSNG,BLUE OR ROQUEFORT CHS DRSNG,LT'), ('containsIngredient', 'CHEESE,BLUE')]",1,0.0,0.0,0.0,0.0,0.0,0.0,1.6105393696348907e-05
ground_truth_size_2,19,"[('containsIngredient', 'RESTAURANT,ITALIAN,CHICK PARMESAN WO/ PASTA'), ('containsIngredient', 'CORN,SWT,WHITE,FRZ,KRNLS ON COB,UNPREP')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0011723329425556857
ground_truth_size_2,20,"[('containsIngredient', 'RESTAURANT,ITALIAN,CHICK PARMESAN WO/ PASTA'), ('containsIngredient', 'ONIONS,RAW')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.002320185614849188
ground_truth_size_2,21,"[('containsIngredient', 'RESTAURANT,ITALIAN,CHICK PARMESAN WO/ PASTA'), ('containsIngredient', 'Celery, stem')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703
ground_truth_size_2,22,"[('containsIngredient', 'SPINACH SOUFFLE'), ('containsIngredient', 'BREAD,WHEAT GERM')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0002984183825723665
ground_truth_size_2,23,"[('containsIngredient', 'SPINACH SOUFFLE'), ('containsIngredient', 'Salt sea')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.00023894862604540023
ground_truth_size_2,24,"[('containsIngredient', 'SPINACH SOUFFLE'), ('containsIngredient', 'CHEESE,PARMESAN,GRATED')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.00020283975659229209
ground_truth_size_2,25,"[('containsIngredient', 'NOODLES,JAPANESE,SOMEN,DRY'), ('containsIngredient', 'Cabbage, white')]",1,0.0,1.0,1.0,0.0,0.2,0.1,0.5
ground_truth_size_2,26,"[('containsIngredient', 'NOODLES,JAPANESE,SOMEN,DRY'), ('containsIngredient', 'Soy sauce salt')]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333
ground_truth_size_2,27,"[('containsIngredient', 'NOODLES,JAPANESE,SOMEN,DRY'), ('containsIngredient', 'Salt sea')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.008928571428571428
ground_truth_size_2,28,"[('containsIngredient', 'NOODLES,JAPANESE,SOMEN,DRY'), ('containsIngredient', 'Salad shrimp')]",1,0.0,1.0,1.0,0.0,0.2,0.1,0.3333333333333333
ground_truth_size_2,29,"[('containsIngredient', 'TOMATO PRODUCTS,CND,SAU,W/MUSHROOMS'), ('containsIngredient', 'SAUSAGE,ITALIAN,PORK,RAW')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0005988023952095808
ground_truth_size_2,30,"[('containsIngredient', 'TOMATO PRODUCTS,CND,SAU,W/MUSHROOMS'), ('containsIngredient', 'CHEESE,PARMESAN,GRATED')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.00011944577161968466
ground_truth_size_2,31,"[('containsIngredient', 'TOMATO PRODUCTS,CND,SAU,W/MUSHROOMS'), ('containsIngredient', 'ONIONS,RAW')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.00037383177570093456
ground_truth_size_2,32,"[('containsIngredient', 'YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ'), ('containsIngredient', 'Flour rice')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0013422818791946308
