scenario_global_id,scenario_index_in_size,criteria,matching_recipe_count,hits@1,hits@5,hits@10,precision@1,precision@5,precision@10,mrr
ground_truth_size_1,0,"[('containsIngredient', 'MORNINGSTAR FARMS BRKFST SAUSAGE LINKS,FRZ,UNPREP')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808
ground_truth_size_1,1,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV')]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.00011075423634954037
ground_truth_size_1,2,"[('containsIngredient', 'BREAD,WHOLE-WHEAT,PREP FROM RECIPE,TSTD')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0010121457489878543
ground_truth_size_1,3,"[('containsIngredient', 'BLUEBERRIES,DRIED,SWTND')]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.00205761316872428
ground_truth_size_1,4,"[('containsIngredient', 'BEANS,FRENCH,MATURE SEEDS,CKD,BLD,WO/SALT')]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.00303951367781155
ground_truth_size_1,5,"[('containsIngredient', 'SALAD DRSNG,BLUE OR ROQUEFORT CHS DRSNG,LT')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.00641025641025641
ground_truth_size_1,6,"[('containsIngredient', 'RESTAURANT,ITALIAN,CHICK PARMESAN WO/ PASTA')]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.004830917874396135
ground_truth_size_1,7,"[('containsIngredient', 'SPINACH SOUFFLE')]",2,1.0,1.0,1.0,1.0,0.2,0.1,1.0
ground_truth_size_1,8,"[('containsIngredient', 'NOODLES,JAPANESE,SOMEN,DRY')]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.010638297872340425
ground_truth_size_1,9,"[('containsIngredient', 'TOMATO PRODUCTS,CND,SAU,W/MUSHROOMS')]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.00016952025767079165
ground_truth_size_1,10,"[('containsIngredient', 'YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.004098360655737705
ground_truth_size_1,11,"[('containsIngredient', 'PIE CRUST,STANDARD-TYPE,DRY MIX')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.012658227848101266
ground_truth_size_1,12,"[('containsIngredient', 'TURKEY  WHITE  ROTISSERIE  DELI CUT')]",1,1.0,1.0,1.0,1.0,0.2,0.1,1.0
ground_truth_size_1,13,"[('containsIngredient', 'SIDE DISHES,POTATO SALAD')]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0009000900090009
ground_truth_size_1,14,"[('containsIngredient', 'TURKEY FROM WHL,LT MEAT,RAW')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.005235602094240838
ground_truth_size_1,15,"[('containsIngredient', 'FLAN,CARAMEL CUSTARD,DRY MIX')]",1,1.0,1.0,1.0,1.0,0.2,0.1,1.0
ground_truth_size_1,16,"[('containsIngredient', 'SEAWEED,WAKAME,RAW')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.004830917874396135
