scenario_global_id,scenario_index_in_size,criteria,matching_recipe_count,hits@1,hits@5,hits@10,precision@1,precision@5,precision@10,mrr
ground_truth_size_4,0,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV'), ('containsIngredient', 'MUSHROOMS,SHIITAKE,RAW'), ('containsIngredient', 'SPAGHETTI,WHOLE-WHEAT,DRY'), ('containsIngredient', 'Soy sauce salt')]",1,0.0,0.0,1.0,0.0,0.0,0.1,0.16666666666666666
ground_truth_size_4,1,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV'), ('containsIngredient', 'MUSHROOMS,SHIITAKE,RAW'), ('containsIngredient', 'SPAGHETTI,WHOLE-WHEAT,DRY'), ('containsIngredient', 'ONIONS,RAW')]",1,0.0,0.0,1.0,0.0,0.0,0.1,0.1
ground_truth_size_4,2,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV'), ('containsIngredient', 'MUSHROOMS,SHIITAKE,RAW'), ('containsIngredient', 'SPAGHETTI,WHOLE-WHEAT,DRY'), ('containsIngredient', 'Catsup')]",1,0.0,0.0,1.0,0.0,0.0,0.1,0.14285714285714285
ground_truth_size_4,3,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV'), ('containsIngredient', 'MUSHROOMS,SHIITAKE,RAW'), ('containsIngredient', 'Soy sauce salt'), ('containsIngredient', 'ONIONS,RAW')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664
ground_truth_size_4,4,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV'), ('containsIngredient', 'MUSHROOMS,SHIITAKE,RAW'), ('containsIngredient', 'Soy sauce salt'), ('containsIngredient', 'Catsup')]",1,0.0,0.0,1.0,0.0,0.0,0.1,0.1
ground_truth_size_4,5,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV'), ('containsIngredient', 'MUSHROOMS,SHIITAKE,RAW'), ('containsIngredient', 'ONIONS,RAW'), ('containsIngredient', 'Catsup')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
ground_truth_size_4,6,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV'), ('containsIngredient', 'SPAGHETTI,WHOLE-WHEAT,DRY'), ('containsIngredient', 'Soy sauce salt'), ('containsIngredient', 'ONIONS,RAW')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.01282051282051282
ground_truth_size_4,7,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV'), ('containsIngredient', 'SPAGHETTI,WHOLE-WHEAT,DRY'), ('containsIngredient', 'Soy sauce salt'), ('containsIngredient', 'Catsup')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152
ground_truth_size_4,8,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV'), ('containsIngredient', 'SPAGHETTI,WHOLE-WHEAT,DRY'), ('containsIngredient', 'ONIONS,RAW'), ('containsIngredient', 'Catsup')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.005050505050505051
ground_truth_size_4,9,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV'), ('containsIngredient', 'Soy sauce salt'), ('containsIngredient', 'ONIONS,RAW'), ('containsIngredient', 'Catsup')]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.004149377593360996
