scenario_global_id,scenario_index_in_size,criteria,matching_recipe_count,candidate_recipe_count,hits@1,hits@5,hits@10,precision@1,precision@5,precision@10,mrr
837,0,"[('HasFatLevel', 'Low Fat'), ('hasDietType', 'Paleo'), ('hasCuisineRegion', 'Mediterranean Europe')]",1,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888
838,1,"[('HasProteinLevel', 'Low Protein'), ('hasCuisineRegion', 'East Asia'), ('usesCookingMethod', 'air fryer')]",2,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223
839,2,"[('isForMealType', 'snack'), ('hasDietType', 'Paleo'), ('hasCuisineRegion', 'South Asia')]",3,88519,0.0,1.0,1.0,0.0,0.2,0.1,0.3333333333333333
840,3,"[('HasProteinLevel', 'High Protein'), ('hasCuisineRegion', 'East Asia'), ('usesCookingMethod', 'air fryer')]",1,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.009174311926605505
841,4,"[('isForMealType', 'starter'), ('hasCuisineRegion', 'North America'), ('usesCookingMethod', 'air fryer')]",3,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703
842,5,"[('HasProteinLevel', 'Medium Protein'), ('hasCuisineRegion', 'North America'), ('usesCookingMethod', 'air fryer')]",3,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.0013280212483399733
843,6,"[('HasCalorieLevel', 'Medium Calorie'), ('isForMealType', 'drink'), ('usesCookingMethod', 'barbecue')]",2,88519,0.0,0.0,0.0,0.0,0.0,0.0,3.0154996682950364e-05
844,7,"[('isForMealType', 'dessert'), ('hasCuisineRegion', 'Sub-Saharan Africa'), ('usesCookingMethod', 'no cook')]",1,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186
845,8,"[('isForMealType', 'breakfast'), ('hasDietType', 'Paleo'), ('hasCuisineRegion', 'Oceania')]",1,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.008695652173913044
846,9,"[('isForMealType', 'dessert'), ('hasDietType', 'Paleo'), ('usesCookingMethod', 'pot')]",1,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.00017464198393293747
847,10,"[('HasProteinLevel', 'Medium Protein'), ('HasFatLevel', 'Low Fat'), ('usesCookingMethod', 'air fryer')]",1,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.0012376237623762376
848,11,"[('HasCarbLevel', 'High Carb'), ('isForMealType', 'breakfast'), ('hasCuisineRegion', 'Latin America')]",3,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.00044072278536800354
849,12,"[('isForMealType', 'breakfast'), ('hasCuisineRegion', 'Middle East & Anatolia'), ('usesCookingMethod', 'no cook')]",1,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.0002494387627837366
850,13,"[('HasProteinLevel', 'Low Protein'), ('hasCuisineRegion', 'Caribbean'), ('usesCookingMethod', 'microwave')]",1,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.00014524328249818446
851,14,"[('HasCalorieLevel', 'Medium Calorie'), ('isForMealType', 'breakfast'), ('hasCuisineRegion', 'Sub-Saharan Africa')]",2,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684
852,15,"[('HasFatLevel', 'Low Fat'), ('HasCalorieLevel', 'Medium Calorie'), ('usesCookingMethod', 'air fryer')]",2,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.002352941176470588
853,16,"[('isForMealType', 'drink'), ('hasCuisineRegion', 'Mediterranean Europe'), ('usesCookingMethod', 'pan')]",1,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.001610305958132045
854,17,"[('HasCarbLevel', 'High Carb'), ('HasCalorieLevel', 'Medium Calorie'), ('usesCookingMethod', 'air fryer')]",1,88519,0.0,0.0,0.0,0.0,0.0,0.0,2.018978396931153e-05
855,18,"[('hasDietType', 'Paleo'), ('hasCuisineRegion', 'Middle East & Anatolia'), ('usesCookingMethod', 'no cook')]",1,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
856,19,"[('HasProteinLevel', 'Low Protein'), ('hasDietType', 'Paleo'), ('hasCuisineRegion', 'Latin America')]",1,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.001310615989515072
857,20,"[('isForMealType', 'breakfast'), ('hasDietType', 'Paleo'), ('usesCookingMethod', 'microwave')]",3,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863
858,21,"[('HasCarbLevel', 'High Carb'), ('hasCuisineRegion', 'Sub-Saharan Africa'), ('usesCookingMethod', 'oven')]",3,88519,0.0,0.0,1.0,0.0,0.0,0.1,0.16666666666666666
859,22,"[('HasCalorieLevel', 'High Calorie'), ('isForMealType', 'lunch'), ('usesCookingMethod', 'air fryer')]",1,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.007518796992481203
