scenario_global_id,scenario_index_in_size,criteria,matching_recipe_count,candidate_recipe_count,hits@1,hits@5,hits@10,mrr
4508,0,"[('HasFatLevel', 'Medium Fat'), ('HasCalorieLevel', 'High Calorie'), ('hasCuisineRegion', 'Oceania'), ('usesCookingMethod', 'barbecue')]",1,90656,0.0,0.0,0.0,0.025
4509,1,"[('HasCalorieLevel', 'Medium Calorie'), ('hasDietType', 'Paleo'), ('hasCuisineRegion', 'Eastern Europe & Eurasia'), ('usesCookingMethod', 'oven')]",2,90656,1.0,1.0,1.0,1.0
4510,2,"[('HasFatLevel', 'High Fat'), ('isForMealType', 'brunch'), ('hasDietType', 'Paleo'), ('hasCuisineRegion', 'Oceania')]",2,90656,1.0,1.0,1.0,1.0
4511,3,"[('HasProteinLevel', 'Low Protein'), ('HasFatLevel', 'Low Fat'), ('isForMealType', 'breakfast'), ('hasCuisineRegion', 'Caribbean')]",2,90656,0.0,0.0,0.0,0.08333333333333333
4512,4,"[('HasCarbLevel', 'Medium Carb'), ('HasFatLevel', 'Medium Fat'), ('HasCalorieLevel', 'High Calorie'), ('hasCuisineRegion', 'Global')]",2,90656,0.0,0.0,1.0,0.1
4513,5,"[('HasCarbLevel', 'Low Carb'), ('HasCalorieLevel', 'High Calorie'), ('hasCuisineRegion', 'South Asia'), ('usesCookingMethod', 'air fryer')]",1,90656,0.0,0.0,0.0,0.0026109660574412533
4514,6,"[('HasFatLevel', 'Low Fat'), ('isForMealType', 'dessert'), ('hasCuisineRegion', 'Caribbean'), ('usesCookingMethod', 'no cook')]",2,90656,0.0,0.0,1.0,0.16666666666666666
4515,7,"[('isForMealType', 'drink'), ('hasDietType', 'Standard'), ('hasCuisineRegion', 'North America'), ('usesCookingMethod', 'barbecue')]",1,90656,1.0,1.0,1.0,1.0
4516,8,"[('HasCarbLevel', 'High Carb'), ('HasCalorieLevel', 'High Calorie'), ('isForMealType', 'breakfast'), ('hasCuisineRegion', 'Latin America')]",2,90656,0.0,1.0,1.0,0.5
4517,9,"[('HasProteinLevel', 'Low Protein'), ('HasCarbLevel', 'High Carb'), ('isForMealType', 'drink'), ('hasCuisineRegion', 'Eastern Europe & Eurasia')]",1,90656,1.0,1.0,1.0,1.0
4518,10,"[('HasProteinLevel', 'Medium Protein'), ('HasCarbLevel', 'High Carb'), ('hasCuisineRegion', 'Southeast Asia'), ('usesCookingMethod', 'barbecue')]",1,90656,0.0,0.0,0.0,0.0038314176245210726
4519,11,"[('isForMealType', 'dessert'), ('hasDietType', 'Standard'), ('hasCuisineRegion', 'East Asia'), ('usesCookingMethod', 'no cook')]",1,90656,1.0,1.0,1.0,1.0
4520,12,"[('HasCarbLevel', 'High Carb'), ('isForMealType', 'drink'), ('hasDietType', 'Vegetarian'), ('hasCuisineRegion', 'Eastern Europe & Eurasia')]",1,90656,1.0,1.0,1.0,1.0
4521,13,"[('HasCalorieLevel', 'Medium Calorie'), ('isForMealType', 'brunch'), ('hasDietType', 'Paleo'), ('hasCuisineRegion', 'Oceania')]",1,90656,0.0,1.0,1.0,0.5
4522,14,"[('HasProteinLevel', 'High Protein'), ('HasCarbLevel', 'High Carb'), ('isForMealType', 'drink'), ('usesCookingMethod', 'oven')]",1,90656,0.0,0.0,0.0,0.0008818342151675485
4523,15,"[('HasCalorieLevel', 'Low Calorie'), ('isForMealType', 'lunch'), ('hasDietType', 'Paleo'), ('hasCuisineRegion', 'Latin America')]",1,90656,0.0,0.0,1.0,0.1
4524,16,"[('HasFatLevel', 'Medium Fat'), ('HasCalorieLevel', 'Medium Calorie'), ('hasCuisineRegion', 'Sub-Saharan Africa'), ('usesCookingMethod', 'microwave')]",1,90656,0.0,0.0,0.0,0.0625
4525,17,"[('isForMealType', 'starter'), ('hasDietType', 'Standard'), ('hasCuisineRegion', 'Southeast Asia'), ('usesCookingMethod', 'air fryer')]",1,90656,0.0,0.0,0.0,0.004545454545454545
4526,18,"[('HasProteinLevel', 'Medium Protein'), ('HasCarbLevel', 'Medium Carb'), ('hasCuisineRegion', 'Southeast Asia'), ('usesCookingMethod', 'microwave')]",2,90656,0.0,0.0,0.0,0.00847457627118644
4527,19,"[('isForMealType', 'brunch'), ('hasDietType', 'Vegetarian'), ('hasCuisineRegion', 'Middle East & Anatolia'), ('usesCookingMethod', 'microwave')]",1,90656,0.0,0.0,0.0,0.002066115702479339
4528,20,"[('HasFatLevel', 'Medium Fat'), ('HasCalorieLevel', 'High Calorie'), ('isForMealType', 'drink'), ('hasDietType', 'Vegan')]",2,90656,1.0,1.0,1.0,1.0
4529,21,"[('HasProteinLevel', 'High Protein'), ('HasFatLevel', 'High Fat'), ('isForMealType', 'drink'), ('hasCuisineRegion', 'Mediterranean Europe')]",2,90656,0.0,0.0,0.0,0.02631578947368421
4530,22,"[('HasProteinLevel', 'High Protein'), ('HasCalorieLevel', 'High Calorie'), ('hasDietType', 'Paleo'), ('usesCookingMethod', 'microwave')]",2,90656,1.0,1.0,1.0,1.0
4531,23,"[('HasCalorieLevel', 'Medium Calorie'), ('isForMealType', 'dessert'), ('hasDietType', 'Vegan'), ('hasCuisineRegion', 'South Asia')]",2,90656,0.0,1.0,1.0,0.3333333333333333
4532,24,"[('HasCarbLevel', 'High Carb'), ('isForMealType', 'brunch'), ('hasDietType', 'Vegan'), ('hasCuisineRegion', 'Mediterranean Europe')]",2,90656,1.0,1.0,1.0,1.0
4533,25,"[('HasCalorieLevel', 'Low Calorie'), ('hasDietType', 'Paleo'), ('hasCuisineRegion', 'North America'), ('usesCookingMethod', 'air fryer')]",1,90656,0.0,1.0,1.0,0.3333333333333333
4534,26,"[('HasProteinLevel', 'Medium Protein'), ('HasCarbLevel', 'High Carb'), ('isForMealType', 'starter'), ('hasCuisineRegion', 'Eastern Europe & Eurasia')]",1,90656,0.0,1.0,1.0,0.5
4535,27,"[('HasCarbLevel', 'Medium Carb'), ('HasFatLevel', 'High Fat'), ('hasDietType', 'Vegan'), ('hasCuisineRegion', 'Eastern Europe & Eurasia')]",2,90656,0.0,1.0,1.0,0.3333333333333333
