scenario_global_id,scenario_index_in_size,combo_size,criteria,matching_recipe_count,candidate_recipe_count,hits@1,hits@5,hits@10,mrr
ground_truth_size_1,0,1,"[('containsIngredient', 'MORNINGSTAR FARMS BRKFST SAUSAGE LINKS,FRZ,UNPREP')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_1,1,1,"[('containsIngredient', 'WATER,W/ CORN SYRUP AND/OR SUGAR & LO CAL SWTNR,FRUIT FLAV')]",2,90656,1.0,1.0,1.0,1.0
ground_truth_size_1,2,1,"[('containsIngredient', 'BREAD,WHOLE-WHEAT,PREP FROM RECIPE,TSTD')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_1,3,1,"[('containsIngredient', 'BLUEBERRIES,DRIED,SWTND')]",2,90656,1.0,1.0,1.0,1.0
ground_truth_size_1,4,1,"[('containsIngredient', 'BEANS,FRENCH,MATURE SEEDS,CKD,BLD,WO/SALT')]",2,90656,1.0,1.0,1.0,1.0
ground_truth_size_1,5,1,"[('containsIngredient', 'SALAD DRSNG,BLUE OR ROQUEFORT CHS DRSNG,LT')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_1,6,1,"[('containsIngredient', 'RESTAURANT,ITALIAN,CHICK PARMESAN WO/ PASTA')]",2,90656,1.0,1.0,1.0,1.0
ground_truth_size_1,7,1,"[('containsIngredient', 'SPINACH SOUFFLE')]",2,90656,1.0,1.0,1.0,1.0
ground_truth_size_1,8,1,"[('containsIngredient', 'NOODLES,JAPANESE,SOMEN,DRY')]",2,90656,1.0,1.0,1.0,1.0
ground_truth_size_1,9,1,"[('containsIngredient', 'TOMATO PRODUCTS,CND,SAU,W/MUSHROOMS')]",2,90656,1.0,1.0,1.0,1.0
ground_truth_size_1,10,1,"[('containsIngredient', 'YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_1,11,1,"[('containsIngredient', 'PIE CRUST,STANDARD-TYPE,DRY MIX')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_1,12,1,"[('containsIngredient', 'TURKEY  WHITE  ROTISSERIE  DELI CUT')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_1,13,1,"[('containsIngredient', 'SIDE DISHES,POTATO SALAD')]",2,90656,1.0,1.0,1.0,1.0
ground_truth_size_1,14,1,"[('containsIngredient', 'TURKEY FROM WHL,LT MEAT,RAW')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_1,15,1,"[('containsIngredient', 'FLAN,CARAMEL CUSTARD,DRY MIX')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_1,16,1,"[('containsIngredient', 'SEAWEED,WAKAME,RAW')]",1,90656,1.0,1.0,1.0,1.0
ground_truth_size_1,17,1,"[('containsIngredient', 'SOUP,BF BROTH,BOUILLON,CONSOMME,PREP W/ EQ VOLUME H2O')]",1,90656,1.0,1.0,1.0,1.0
