scenario_global_id,scenario_index_in_size,criteria,matching_recipe_count,candidate_recipe_count,hits@1,hits@5,hits@10,precision@1,precision@5,precision@10,mrr
44,0,"[('HasProteinLevel', 'Low Protein'), ('HasCarbLevel', 'Low Carb')]",24385,88519,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,1,"[('HasProteinLevel', 'Low Protein'), ('HasCarbLevel', 'Medium Carb')]",8077,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
46,2,"[('HasProteinLevel', 'Low Protein'), ('HasCarbLevel', 'High Carb')]",1182,88519,0.0,1.0,1.0,0.0,0.2,0.1,0.5
47,3,"[('HasProteinLevel', 'Medium Protein'), ('HasCarbLevel', 'Low Carb')]",7614,88519,0.0,0.0,1.0,0.0,0.0,0.1,0.16666666666666666
48,4,"[('HasProteinLevel', 'Medium Protein'), ('HasCarbLevel', 'Medium Carb')]",6068,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705
49,5,"[('HasProteinLevel', 'Medium Protein'), ('HasCarbLevel', 'High Carb')]",1907,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.0012033694344163659
50,6,"[('HasProteinLevel', 'High Protein'), ('HasCarbLevel', 'Low Carb')]",23183,88519,0.0,1.0,1.0,0.0,0.2,0.2,0.5
51,7,"[('HasProteinLevel', 'High Protein'), ('HasCarbLevel', 'Medium Carb')]",10963,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.007352941176470588
52,8,"[('HasProteinLevel', 'High Protein'), ('HasCarbLevel', 'High Carb')]",5140,88519,0.0,1.0,1.0,0.0,0.2,0.1,0.3333333333333333
53,9,"[('HasProteinLevel', 'Low Protein'), ('HasFatLevel', 'Low Fat')]",13275,88519,0.0,0.0,1.0,0.0,0.0,0.1,0.1
54,10,"[('HasProteinLevel', 'Low Protein'), ('HasFatLevel', 'Medium Fat')]",17020,88519,1.0,1.0,1.0,1.0,1.0,1.0,1.0
55,11,"[('HasProteinLevel', 'Low Protein'), ('HasFatLevel', 'High Fat')]",3349,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.004098360655737705
56,12,"[('HasProteinLevel', 'Medium Protein'), ('HasFatLevel', 'Low Fat')]",2564,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
57,13,"[('HasProteinLevel', 'Medium Protein'), ('HasFatLevel', 'Medium Fat')]",8368,88519,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555
58,14,"[('HasProteinLevel', 'Medium Protein'), ('HasFatLevel', 'High Fat')]",4657,88519,0.0,1.0,1.0,0.0,0.2,0.1,0.2
